area_code,date,stage,window_start,window_end,shed_hrs
1,2024-01-01,2,2024-01-01 00:00:00,2024-01-01 02:30:00,2.5
2,2024-01-01,2,2024-01-01 02:30:00,2024-01-01 05:00:00,2.5
3,2024-01-01,2,2024-01-01 05:00:00,2024-01-01 07:30:00,2.5
4,2024-01-01,2,2024-01-01 07:30:00,2024-01-01 10:00:00,2.5
5,2024-01-01,2,2024-01-01 10:00:00,2024-01-01 12:30:00,2.5
6,2024-01-01,2,2024-01-01 12:30:00,2024-01-01 15:00:00,2.5
7,2024-01-01,2,2024-01-01 15:00:00,2024-01-01 17:30:00,2.5
8,2024-01-01,2,2024-01-01 17:30:00,2024-01-01 20:00:00,2.5
9,2024-01-01,2,2024-01-01 00:00:00,2024-01-01 02:30:00,2.5
10,2024-01-01,2,2024-01-01 02:30:00,2024-01-01 05:00:00,2.5
11,2024-01-01,2,2024-01-01 05:00:00,2024-01-01 07:30:00,2.5
12,2024-01-01,2,2024-01-01 07:30:00,2024-01-01 10:00:00,2.5
13,2024-01-01,2,2024-01-01 10:00:00,2024-01-01 12:30:00,2.5
14,2024-01-01,2,2024-01-01 12:30:00,2024-01-01 15:00:00,2.5
15,2024-01-01,2,2024-01-01 15:00:00,2024-01-01 17:30:00,2.5
16,2024-01-01,2,2024-01-01 17:30:00,2024-01-01 20:00:00,2.5
17,2024-01-01,2,2024-01-01 00:00:00,2024-01-01 02:30:00,2.5
18,2024-01-01,2,2024-01-01 02:30:00,2024-01-01 05:00:00,2.5
19,2024-01-01,2,2024-01-01 05:00:00,2024-01-01 07:30:00,2.5
20,2024-01-01,2,2024-01-01 07:30:00,2024-01-01 10:00:00,2.5
21,2024-01-01,2,2024-01-01 10:00:00,2024-01-01 12:30:00,2.5
22,2024-01-01,2,2024-01-01 12:30:00,2024-01-01 15:00:00,2.5
23,2024-01-01,2,2024-01-01 15:00:00,2024-01-01 17:30:00,2.5
24,2024-01-01,2,2024-01-01 17:30:00,2024-01-01 20:00:00,2.5
25,2024-01-01,2,2024-01-01 00:00:00,2024-01-01 02:30:00,2.5
26,2024-01-01,2,2024-01-01 02:30:00,2024-01-01 05:00:00,2.5
27,2024-01-01,2,2024-01-01 05:00:00,2024-01-01 07:30:00,2.5
28,2024-01-01,2,2024-01-01 07:30:00,2024-01-01 10:00:00,2.5
29,2024-01-01,2,2024-01-01 10:00:00,2024-01-01 12:30:00,2.5
30,2024-01-01,2,2024-01-01 12:30:00,2024-01-01 15:00:00,2.5
31,2024-01-01,2,2024-01-01 15:00:00,2024-01-01 17:30:00,2.5
32,2024-01-01,2,2024-01-01 17:30:00,2024-01-01 20:00:00,2.5
1,2024-01-02,2,2024-01-02 00:00:00,2024-01-02 02:30:00,2.5
2,2024-01-02,2,2024-01-02 02:30:00,2024-01-02 05:00:00,2.5
3,2024-01-02,2,2024-01-02 05:00:00,2024-01-02 07:30:00,2.5
4,2024-01-02,2,2024-01-02 07:30:00,2024-01-02 10:00:00,2.5
5,2024-01-02,2,2024-01-02 10:00:00,2024-01-02 12:30:00,2.5
6,2024-01-02,2,2024-01-02 12:30:00,2024-01-02 15:00:00,2.5
7,2024-01-02,2,2024-01-02 15:00:00,2024-01-02 17:30:00,2.5
8,2024-01-02,2,2024-01-02 17:30:00,2024-01-02 20:00:00,2.5
9,2024-01-02,2,2024-01-02 00:00:00,2024-01-02 02:30:00,2.5
